,count,mean,std,min,25%,50%,75%,max
79,408442.0,3.9234032469726423,2.3586920126460718,0.0,1.967,3.711,5.758,14.773
80,408442.0,1.5782386703620102,1.0722354980869127,0.172,0.758,1.152,2.493,10.333
81,408442.0,1.253744617350811,1.571441303257486,0.135,0.299,0.447,1.64,14.08
82,408442.0,1.1592197203030046,1.6639008550627827,0.001,0.235,0.521,1.54875,25.955
83,408442.0,0.871406397970826,1.1503685405201272,0.108,0.181,0.294,0.728,8.484
84,408442.0,1.0992945093795443,1.1776367146179358,0.144,0.373,0.569,1.061,10.419
85,408442.0,0.9369405913201874,0.7375367270492456,0.0,0.391,0.553,1.536,3.954
86,408442.0,0.7380832823264993,1.0955244745440234,0.054,0.208,0.313,0.499,10.945
87,408442.0,1.731553302549689,1.8158351001499846,0.0,0.49,0.828,1.961,14.911
88,408442.0,1.7305322616185408,2.3734496811443058,-0.02,0.288,0.387,3.227,21.047
89,408442.0,1.6610713002090876,1.6714808646296822,0.0,0.541,0.817,2.375,14.601
90,408442.0,1.3546252221857693,1.1348828909882176,0.0,0.551,0.857,1.957,13.725
91,408442.0,2.4807354850872345,2.352129608474319,0.019,0.644,1.154,4.432,18.298
92,408442.0,1.4936199852120988,1.2573979473262522,0.028,0.544,0.837,2.572,12.679
93,408442.0,2.7345192022367923,3.1454198447368227,0.0,0.814,1.188,2.991,27.972
94,408442.0,0.8331220467043056,1.2305602768724844,0.043,0.122,0.234,0.901,10.971
95,408442.0,1.9485573276009804,1.692856197504903,0.0,0.823,1.103,2.7,13.455
96,408442.0,1.3641961110757461,1.9019065822723435,0.153,0.297,0.459,1.266,17.971
97,408442.0,2.9387102354801913,2.646523581815438,0.432,0.974,1.656,5.097,20.76
98,408442.0,0.277554443470554,0.6878077972731141,0.0,0.0,0.0,0.0,9.356
99,408442.0,0.5603469305311404,0.9851328301407054,0.0,0.0,0.232,0.504,10.085
100,408442.0,1.49434279040843,1.4811890163339785,0.162,0.368,0.903,2.57975,10.049
101,408442.0,1.75978541139256,1.4364287016875328,0.17,0.552,1.035,3.05,11.127
102,408442.0,2.0440124448514108,2.4618279598374437,0.028,0.531,0.788,2.64,28.443
103,408442.0,1.2131123635669203,1.588370422245081,0.066,0.305,0.412,1.11,12.153
104,408442.0,2.026868644752499,1.7603112070559135,0.228,0.531,1.211,3.7,9.065
105,408442.0,1.3319379667125317,1.7273345875577293,0.041,0.27,0.416,1.35,14.546
106,408442.0,2.56153278556074,2.0416625211234525,0.425,0.857,1.489,4.594,14.32
107,408442.0,1.8037473741681807,1.5119295043883862,0.0,0.663,1.225,2.68,18.534
108,408442.0,1.364161910381401,1.4810899782461722,0.0,0.618,0.839,1.115,16.476
109,408442.0,1.0794997649605085,1.2163805965034278,0.1,0.291,0.567,1.065,8.93
110,408442.0,1.4767625415603682,1.81346890809933,0.129,0.378,0.521,3.19,17.026
111,408442.0,1.9472234980731657,1.8739156381808784,0.14,0.497,0.887,3.51,13.579
112,408442.0,1.2886574128027966,1.3242355643000376,0.062,0.378,0.939,1.763,18.315
113,408442.0,2.1013208876658123,1.787288978556351,0.208,0.58,1.114,4.145,9.897
114,408442.0,1.3944025736824324,1.522446220930321,0.0,0.36,0.647,2.308,12.139
115,408442.0,1.2481355271984764,1.2510049471925055,0.001,0.444,0.638,1.629,11.501
116,408442.0,1.2971302583965414,1.612796439517061,0.0,0.455,0.738,1.44,24.501
117,408442.0,1.2470050264174595,1.3929085352872723,0.0,0.349,0.509,1.644,9.492
118,408442.0,1.4143936740100183,1.5339178901060275,0.102,0.557,0.745,1.186,8.887
119,408442.0,1.255802581517082,1.5647105360388496,0.059,0.343,0.494,1.155,9.879
120,408442.0,1.850884367915151,2.061096172393289,0.0,0.394,0.662,3.928,14.772
121,408442.0,3.927345554570782,2.6106577070449757,0.0,1.963,2.892,5.572,16.988
122,408442.0,1.2035797028709092,1.7043866377867842,0.045,0.262,0.41,1.20975,16.858
123,408442.0,0.9591012799858977,0.9524130345198084,0.209,0.492,0.587,0.795,9.603
124,408442.0,0.9218099803644093,0.8954394274578802,0.128,0.378,0.578,0.923,9.198
125,408442.0,0.5845834904343823,0.6373716447347029,0.065,0.284,0.375,0.643,8.783
126,408442.0,1.9230338016168755,1.7527257472345872,0.094,0.703,1.02,3.753,21.851
127,408442.0,0.626504727721439,1.061069370121045,-0.034,0.111,0.19,0.291,10.805
128,408442.0,1.1717910498920292,1.542223234333105,0.042,0.336,0.528,1.003,11.329
129,408442.0,1.0384787901342174,1.2985590022921167,0.089,0.235,0.351,1.108,10.774
130,408442.0,1.736314211075257,1.7251648125465016,0.104,0.486,0.775,3.222,10.763
131,408442.0,1.2634793556979937,1.2582642430395377,0.121,0.305,0.669,2.232,5.917
132,408442.0,1.001561920664378,1.1867743399447668,0.085,0.288,0.406,0.945,9.674
133,408442.0,1.046818373232919,1.3640563661082874,0.0,0.221,0.352,0.999,13.918
134,408442.0,0.9385500756533363,0.887413714108649,0.0,0.454,0.547,0.896,9.078
135,408442.0,1.2334057026456633,1.5521722216021914,0.042,0.338,0.456,1.027,14.393
136,408442.0,1.1619966433422615,1.3196828310119402,0.0,0.354,0.723,1.243,12.432
137,408442.0,0.9930094015796612,1.2757961858828977,0.0,0.187,0.305,0.919,8.336
138,408442.0,2.0698931402745067,1.9800250393112298,0.0,0.595,0.971,3.921,25.693
139,408442.0,3.822093643650751,2.964376388534187,0.247,1.183,3.191,5.557,23.464
140,408442.0,1.4052079071202277,1.6622294515436036,0.084,0.342,0.591,2.152,13.429
141,408442.0,2.6682191008760126,2.832125029504468,0.0,0.82,1.203,3.683,18.708
142,408442.0,3.744425859730389,3.462117035021072,0.0,1.32,2.262,5.436,26.632
143,408442.0,0.6678461715494488,0.7888476459596097,0.0,0.315,0.403,0.553,9.211
144,408442.0,5.893767031793987,4.574126291348207,0.002,2.563,4.693,8.337,30.844
145,408442.0,1.2074289421753885,0.9211328195610445,-0.03,0.459,0.957,1.629,8.494
146,408442.0,0.9895966673358761,1.8510060132325865,0.1,0.206,0.306,0.589,20.215
147,408442.0,0.9045402162363324,1.0015373125238771,0.065,0.272,0.425,1.254,10.424
